STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andaman And Nicobar","North and Middle Andaman",PMGSY-III,14,0,0,0,14,0,69.756,82.6236,0,0,69.756
"Andhra Pradesh","Alluri Sitharama Raju",RCPLWEA,124,34,101,26,23,8,1084.885,827.64173,794.164,551.2687,268.01
"Andhra Pradesh",Anakapalli,PMGSY-I,195,8,195,8,0,0,483.715,158.0745,465.672,140.341,0
"Andhra Pradesh",Anakapalli,PMGSY-II,5,0,5,0,0,0,34.62,21.309,31.291,16.1277,0
"Andhra Pradesh",Annamayya,PMGSY-I,144,6,144,6,0,0,495.735,106.8891,479.78,101.3144,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-III,11,1,11,1,0,0,76.433,48.80619,74.461,44.6505,0
"Andhra Pradesh","East Godavari",PMGSY-II,6,0,6,0,0,0,42.9,18.4807,41.22,15.4279,0
"Andhra Pradesh",Eluru,PMGSY-III,12,2,9,0,3,2,75.097,48.8486,61.66,36.1758,11.16
"Andhra Pradesh",Guntur,PMGSY-II,4,0,4,0,0,0,35.1,17.3794,34.839,13.8579,0
"Andhra Pradesh",Kakinada,PMGSY-I,121,1,121,1,0,0,278.7,48.8651,267.2,40.8587,0
"Andhra Pradesh",Kakinada,PMGSY-III,12,1,11,0,1,1,87.62,47.5397,84.102,39.0525,1.3
"Andhra Pradesh",Krishna,PMGSY-III,16,6,7,0,9,6,95.023,115.75985,56.305,47.7937,36.476
"Andhra Pradesh",Kurnool,PMGSY-II,9,1,9,1,0,0,65.66,28.5085,65.021,26.8076,0
"Andhra Pradesh",Ntr,PMGSY-III,6,2,4,0,2,2,47.028,28.8447,28.135,15.6739,17.338
"Andhra Pradesh",Palnadu,PMGSY-III,15,4,12,0,3,4,102.686,116.83499,89.892,74.5294,9.381
"Andhra Pradesh","Parvathipuram Manyam",PM-JANMAN,19,0,0,0,19,0,38.65,39.56477,0,0,38.65
"Andhra Pradesh",Vizianagaram,PMGSY-III,20,1,18,0,2,1,151.508,85.8204,136.752,69.995,7.44
"Andhra Pradesh",Vizianagaram,PM-JANMAN,3,0,0,0,3,0,15.6,16.3,0,0,15.6
"Arunachal Pradesh","Dibang Valley",PMGSY-II,9,0,9,0,0,0,51.81,46.95383,51.81,46.6464,0
"Arunachal Pradesh",Kamale,PMGSY-I,24,5,24,5,0,0,307.16,212.0949,310.66,214.0637,0
"Arunachal Pradesh","Kurung Kumey",PMGSY-I,60,29,51,23,9,6,963.789,900.1091,876.729,857.292,89.99
"Arunachal Pradesh","Lepa Rada",PMGSY-III,3,0,0,0,3,0,33.8,33.7404,22.5,14.0942,11.3
"Arunachal Pradesh",Lohit,PMGSY-III,7,6,1,1,6,5,54.01,85.4743,8,28.7466,46.01
"Arunachal Pradesh","Pakke kessang",PMGSY-I,16,3,16,3,0,0,184.28,123.1649,184.28,124.052,0
"Arunachal Pradesh","Pakke kessang",PMGSY-III,3,2,0,0,3,2,16.95,23.2813,6.85,8.4284,10.1
"Arunachal Pradesh","Papum Pare",PMGSY-III,12,12,0,0,12,12,109.62,158.12207,18.45,61.5736,91.17
"Arunachal Pradesh",Siang,PMGSY-I,57,1,56,1,1,0,467.5,305.1432,442.27,289.3251,28.1
"Arunachal Pradesh",Tirap,PMGSY-III,5,0,3,0,2,0,52.42,40.65915,29.5,16.1825,22.92
"Arunachal Pradesh","Upper Siang",PMGSY-III,4,0,1,0,3,0,27.1,23.69925,5.4,2.8912,21.7
"Arunachal Pradesh","West Kameng",PMGSY-III,10,0,3,0,7,0,72.3,53.7646,31.004,27.7571,41.1
Assam,Baksa,PMGSY-I,300,57,297,55,3,2,1007.206,667.20473,1002.424,698.9472,2.77
Assam,Dhemaji,PMGSY-III,13,2,10,1,3,1,87.604,49.67692,72.93,35.6293,14.674
Assam,Dhubri,PMGSY-III,36,5,33,0,3,5,222.777,221.01408,211.94,192.537,9.387
Assam,"Kamrup Rural",PMGSY-I,766,133,766,133,0,0,2220.377,1471.67112,2209.175,1621.5809,0
Assam,Kokrajhar,PMGSY-I,220,33,220,33,0,0,735.645,586.70618,734.945,589.5758,0
Assam,Lakhimpur,PMGSY-II,10,2,10,2,0,0,51.94,33.96306,51.94,32.548,0
Assam,Nalbari,PMGSY-I,207,21,207,21,0,0,535.042,290.16332,535.456,300.3734,0
Assam,Nowgaon,PMGSY-I,862,46,862,46,0,0,2200.263,1158.28563,2191.611,1238.8295,0
Assam,Nowgaon,PMGSY-II,18,5,18,5,0,0,134.856,93.0606,130.503,85.1938,0
Assam,Sibsagar,PMGSY-I,530,31,530,31,0,0,1287.658,658.33483,1270.561,727.819,0
Assam,Tinsukia,PMGSY-III,18,3,17,3,1,0,140.04,95.80004,139.35,90.2989,0.23
Assam,Udalguri,PMGSY-I,172,78,172,78,0,0,785.389,599.83257,785.255,635.6597,0
Assam,Udalguri,PMGSY-II,5,1,5,1,0,0,27.736,25.7462,27.736,27.6353,0
Assam,Udalguri,PMGSY-III,9,0,9,0,0,0,63.36,54.9087,63.36,56.9186,0
Bihar,Arwal,PMGSY-I,160,4,158,4,2,0,360.407,163.48724,335.572,148.3821,0.826
Bihar,Banka,RCPLWEA,11,16,11,16,0,0,183.075,272.19727,181.293,218.2678,0
Bihar,Begusarai,PMGSY-I,258,7,257,7,1,0,747.741,410.38037,724.06,298.7958,0.07
Bihar,Bhojpur,PMGSY-I,386,4,381,4,5,0,1106.624,566.29681,1060.341,500.85,17.796
Bihar,Bhojpur,PMGSY-II,2,0,2,0,0,0,26.025,10.6814,25.625,11.3167,0
Bihar,Buxar,PMGSY-III,4,0,3,0,1,0,48.477,37.10216,27.908,15.2034,19.525
Bihar,"East Champaran",PMGSY-II,15,0,15,0,0,0,51.742,22.1739,51.742,24.1707,0
Bihar,Gopalganj,PMGSY-I,273,3,273,3,0,0,1150.732,636.65499,1137.65,615.0024,0
Bihar,Gopalganj,PMGSY-II,5,0,5,0,0,0,27.145,13.59418,27.145,14.1035,0
Bihar,Jahanabad,PMGSY-II,5,0,5,0,0,0,36.965,13.50654,36.741,17.5317,0
Bihar,Jahanabad,PMGSY-III,5,0,4,0,1,0,46.094,26.11107,43.6,27.8212,2.497
Bihar,Jamui,RCPLWEA,22,18,14,18,8,0,414.657,549.95709,346.487,441.7568,66.206
Bihar,Jamui,PMGSY-III,3,0,3,0,0,0,18.262,8.97371,18.261,6.7129,0
Bihar,Katihar,PMGSY-I,378,52,374,46,4,6,1363.269,803.89291,1312.976,768.7923,2.065
Bihar,Kishanganj,PMGSY-III,60,108,22,29,38,79,511.419,800.10631,254.365,399.1047,249.155
Bihar,Lakhisarai,RCPLWEA,1,0,1,0,0,0,16.415,14.40069,16.415,13.7912,0
Bihar,Lakhisarai,PMGSY-III,1,0,1,0,0,0,5.858,2.35617,5.858,1.7734,0
Bihar,Madhepura,PMGSY-I,238,18,236,18,2,0,784.482,503.51779,756.131,435.3384,0
Bihar,Madhubani,PMGSY-II,12,0,12,0,0,0,85.31,38.44442,84.653,39.0325,0
Bihar,Madhubani,PMGSY-III,20,14,16,4,4,10,212.08,234.33669,175.457,173.2092,31.815
Bihar,Nawada,PMGSY-III,2,0,2,0,0,0,15.775,10.59852,15.333,6.4936,0
Bihar,Patna,PMGSY-III,13,1,12,0,1,1,85.585,62.87895,78.36,53.9798,6.22
Bihar,Rohtas,PMGSY-III,13,0,12,0,1,0,104.417,68.52202,100.702,47.6098,1.805
Bihar,Samastipur,PMGSY-I,671,8,665,7,6,1,1881.119,959.91127,1839.759,604.4241,12.365
Bihar,Siwan,PMGSY-I,501,4,501,4,0,0,1475.376,732.8235,1454.725,653.9316,0
Chhattisgarh,Balod,PMGSY-I,214,23,214,23,0,0,832.175,280.70689,782.525,266.796,0
Chhattisgarh,Balodabazar,PMGSY-II,7,0,7,0,0,0,90.31,57.6072,88.072,44.2343,0
Chhattisgarh,Balrampur,PMGSY-III,17,2,17,2,0,0,188.595,94.09783,187.605,77.7054,0
Chhattisgarh,Balrampur,PM-JANMAN,113,17,8,0,105,17,374.63,306.6963,105.34,0,268.865
Chhattisgarh,Bemetra,PMGSY-I,149,1,149,1,0,0,643.02,173.8472,622.989,178.6295,0
Chhattisgarh,Bijapur,RCPLWEA,17,7,5,1,12,6,352.8,292.68083,78.4,60.7591,274.85
Chhattisgarh,Dhamtari,PMGSY-II,9,0,9,0,0,0,123.6,70.3733,123.725,72.6311,0
Chhattisgarh,Gariaband,PMGSY-II,5,0,5,0,0,0,77.09,46.5609,76.315,49.3132,0
Chhattisgarh,Gariaband,PMGSY-III,19,15,19,6,0,9,227.08,124.8281,227.08,98.2253,0
Chhattisgarh,"Gaurella Pendra Marwahi",PMGSY-II,5,0,5,0,0,0,65.615,46.60519,66.12,46.5148,0
Chhattisgarh,Jangir-Champa,PMGSY-II,14,0,14,0,0,0,128.018,87.62729,127.665,66.1556,0
Chhattisgarh,Kanker,PMGSY-I,498,28,491,28,7,0,2116.309,840.3478,2070.71,906.9272,19.05
Chhattisgarh,Koria,PMGSY-I,228,24,228,24,0,0,1249.56,400.405,1237.032,414.0229,0
Chhattisgarh,Mungeli,PMGSY-II,6,0,6,0,0,0,65.62,53.4757,65.62,47.6639,0
Chhattisgarh,Mungeli,PM-JANMAN,4,0,1,0,3,0,11.25,7.33941,3.9,0,7.35
Chhattisgarh,Narayanpur,PMGSY-III,1,0,1,0,0,0,10,10.1972,10,9.4707,0
Chhattisgarh,Narayanpur,PM-JANMAN,22,3,3,0,19,3,144.036,136.31232,13.62,0,130.416
Chhattisgarh,Rajnandgaon,RCPLWEA,54,22,50,10,4,12,415.825,308.05882,384.674,239.0304,21.6
Chhattisgarh,Sukma,RCPLWEA,46,0,13,0,33,0,452.555,257.6045,172.525,128.6269,280.03
Chhattisgarh,Surguja,PM-JANMAN,91,20,8,0,83,20,338.392,363.71497,100.815,0,237.575
Goa,"North Goa",PMGSY-III,3,2,0,0,3,2,12.986,57.61523,0,0,12.986
Goa,"South Goa",PMGSY-III,7,0,0,0,7,0,49.63,44.43632,0,0,49.63
Gujarat,Ahmedabad,PMGSY-I,113,3,113,3,0,0,376.194,86.3174,376.192,84.6569,0
Gujarat,Amreli,PMGSY-III,8,0,8,0,0,0,69.903,39.7798,70.017,36.3576,0
Gujarat,Anand,PMGSY-III,9,4,9,0,0,4,87.41,53.87667,86.78,34.9782,0
Gujarat,Banaskantha,PMGSY-I,221,0,221,0,0,0,581.105,167.7729,571.986,169.3812,0
Gujarat,Bharuch,PMGSY-II,4,0,4,0,0,0,44.6,25.132,44.6,20.8079,0
Gujarat,Bhavnagar,PMGSY-I,59,0,59,0,0,0,147.345,24.7903,144.845,26.2212,0
Gujarat,Bhavnagar,PMGSY-II,4,0,4,0,0,0,52.08,24.4094,52.08,16.5053,0
Gujarat,Dahod,PMGSY-III,13,9,12,4,1,5,161.486,137.00261,148.926,105.0528,12
Gujarat,"Devbhumi Dwarka",PMGSY-II,1,0,1,0,0,0,8.8,4.9974,8.8,3.7629,0
Gujarat,"Devbhumi Dwarka",PMGSY-III,6,7,6,0,0,7,56.558,43.24876,56.2,39.0928,0
Gujarat,Kutch,PMGSY-II,4,0,4,0,0,0,57.24,43.8796,57.24,34.9572,0
Gujarat,Kutch,PMGSY-III,15,48,14,0,1,48,153.6,203.03993,143.384,112.318,8.8
Gujarat,Mahisagar,PMGSY-II,2,2,2,2,0,0,31.4,22.6813,30.63,17.9586,0
Gujarat,Mehsana,PMGSY-II,4,0,4,0,0,0,56.46,39.3364,56.46,30.9787,0
Gujarat,Morbi,PMGSY-I,42,0,42,0,0,0,98.4,12.2879,96.47,13.2127,0
Gujarat,Morbi,PMGSY-III,9,2,9,0,0,2,86.278,55.81509,86.27,39.4777,0
Gujarat,Narmada,PMGSY-I,74,3,74,3,0,0,271.39,78.4196,271.07,85.5156,0
Gujarat,Navsari,PMGSY-II,4,0,4,0,0,0,27.07,15.2419,27.074,13.2753,0
Gujarat,Panchmahals,PMGSY-III,11,8,11,0,0,8,101.73,108.88015,101.53,76.8306,0
Gujarat,Patan,PMGSY-I,76,0,76,0,0,0,175.4,42.1409,174.097,40.2023,0
Gujarat,Surat,PMGSY-I,155,0,155,0,0,0,443.89,103.6383,436.02,106.1618,0
Gujarat,Surat,PMGSY-II,6,3,6,3,0,0,53.89,34.6008,53.89,30.3906,0
Gujarat,Surendranagar,PMGSY-II,4,0,4,0,0,0,48.55,15.0042,48.65,12.7691,0
Gujarat,Valsad,PMGSY-II,2,0,2,0,0,0,11.06,5.991,11.06,6.8492,0
Gujarat,Valsad,PMGSY-III,10,4,10,0,0,4,87.453,59.18251,84.246,54.4255,0
Haryana,Ambala,PMGSY-I,22,0,22,0,0,0,171.07,50.3457,170.734,53.1038,0
Haryana,Ambala,PMGSY-II,5,0,5,0,0,0,54.055,53.3121,54.055,45.0251,0
Haryana,Fatehabad,PMGSY-I,18,0,18,0,0,0,205.46,67.7108,205.342,59.351,0
Haryana,Gurgaon,PMGSY-I,14,0,14,0,0,0,112.59,33.8266,112.595,33.8888,0
Haryana,Gurgaon,PMGSY-II,2,0,2,0,0,0,28.815,24.098,28.815,18.199,0
Haryana,Hisar,PMGSY-I,29,0,29,0,0,0,374.19,72.6718,373.615,70.1549,0
Haryana,Kaithal,PMGSY-II,3,0,3,0,0,0,40.73,32.2339,40.36,28.8621,0
Haryana,Kaithal,PMGSY-III,8,0,8,0,0,0,71.945,36.70425,71.046,33.5642,0
Haryana,Karnal,PMGSY-III,10,0,10,0,0,0,63.88,34.53308,61.406,28.7263,0
Haryana,Kurukshetra,PMGSY-II,5,0,5,0,0,0,42.44,28.9366,42.19,25.391,0
Haryana,Kurukshetra,PMGSY-III,10,0,10,0,0,0,93.27,35.2041,90.858,31.5763,0
Haryana,Mewat,PMGSY-I,12,0,12,0,0,0,136.56,47.271,136.58,47.7689,0
Haryana,Mewat,PMGSY-II,3,0,3,0,0,0,31.1,20.9209,31.1,15.7537,0
Haryana,Panchkula,PMGSY-II,1,0,1,0,0,0,6.4,4.1956,6.4,3.9212,0
Haryana,Panipat,PMGSY-I,23,0,23,0,0,0,247.775,90.7737,247.77,82.915,0
Haryana,Sonepat,PMGSY-I,20,0,20,0,0,0,209.625,82.9402,210.285,78.7516,0
Haryana,"Yamuna Nagar",PMGSY-I,16,0,16,0,0,0,192.87,66.2875,192.87,66.1965,0
Haryana,"Yamuna Nagar",PMGSY-II,5,0,5,0,0,0,53.24,56.8816,53.24,47.2958,0
"Himachal Pradesh",Mandi,PMGSY-II,20,0,20,0,0,0,229.33,186.4931,219.79,180.3911,0
"Himachal Pradesh",Sirmaur,PMGSY-II,7,0,7,0,0,0,77.03,53.3648,77.03,52.716,0
"Himachal Pradesh",Solan,PMGSY-I,184,1,184,1,0,0,1169.528,360.6669,1141.164,339.0741,0
"Himachal Pradesh",Una,PMGSY-I,181,23,181,23,0,0,988.735,382.4297,985.008,358.3812,0
"Jammu And Kashmir",Bandipora,PMGSY-III,6,0,5,0,1,0,24.861,19.8507,24.66,17.9372,0
"Jammu And Kashmir",Bandipora,NA,9,0,0,0,9,0,47.935,NA,0,0,47.935
"Jammu And Kashmir",Baramula,PMGSY-III,22,0,14,0,8,0,149,146.0136,124.96,121.4282,23.1
"Jammu And Kashmir",Doda,PMGSY-I,172,11,170,11,2,0,1656.558,1021.39496,1622.645,1022.2226,0.25
"Jammu And Kashmir",Doda,PMGSY-II,6,0,5,0,1,0,41.5,38.3902,38.9,32.9975,1.9
"Jammu And Kashmir",Ganderbal,PMGSY-II,3,0,3,0,0,0,14,12.9513,13.33,8.3173,0
"Jammu And Kashmir",Jammu,PMGSY-I,133,2,133,2,0,0,669.79,369.83915,647.281,330.4697,0
"Jammu And Kashmir",Jammu,NA,6,0,0,0,6,0,36.3,NA,0,0,36.3
"Jammu And Kashmir",Kulgam,PMGSY-II,4,0,4,0,0,0,21.55,27.004,18.69,17.7407,0
"Jammu And Kashmir",Pulwama,PMGSY-II,3,0,3,0,0,0,21,25.1151,21.183,20.2375,0
"Jammu And Kashmir",Pulwama,NA,14,0,0,0,14,0,54.22,NA,0,0,54.22
"Jammu And Kashmir",Ramban,PMGSY-II,1,0,1,0,0,0,3,2.1229,3,1.5182,0
"Jammu And Kashmir",Shopian,NA,3,0,0,0,3,0,9.1,NA,0,0,9.1
"Jammu And Kashmir",Udhampur,PMGSY-III,14,2,10,0,4,2,157.6,199.78726,101.195,110.0767,53.825
Jharkhand,Bokaro,PMGSY-II,7,0,7,0,0,0,73.066,31.50319,73.066,18.1113,0
Jharkhand,Chatra,PM-JANMAN,10,0,0,0,10,0,16.111,14.9148,1.385,0,14.726
Jharkhand,Dumka,PMGSY-I,452,20,452,20,0,0,1447.388,576.67061,1419.533,519.2694,0
Jharkhand,Godda,PMGSY-II,8,1,8,1,0,0,72.92,42.7545,71.892,36.6694,0
Jharkhand,Godda,PMGSY-III,17,4,0,0,17,4,157.77,113.9466,36.223,55.1693,121.547
Jharkhand,Gumla,PMGSY-III,23,6,21,0,2,6,219.8,137.51727,206.472,176.4803,9.67
Jharkhand,Khunti,PMGSY-I,329,14,329,14,0,0,1049.613,427.59383,1023.256,403.7562,0
Jharkhand,Koderma,PMGSY-I,78,6,78,6,0,0,398.911,143.08113,380.066,121.5654,0
Jharkhand,Koderma,PMGSY-III,11,2,10,0,1,2,85.308,52.33118,80.505,56.2733,5.695
Jharkhand,Latehar,PMGSY-II,7,0,7,0,0,0,48.4,34.75844,48.4,32.646,0
Jharkhand,Lohardaga,PMGSY-I,122,8,122,8,0,0,532.271,184.77132,518.791,183.4775,0
Jharkhand,Lohardaga,PMGSY-II,4,0,4,0,0,0,28.9,14.44132,28.9,9.9162,0
Jharkhand,Pakur,PMGSY-II,5,0,5,0,0,0,61.25,44.0773,60.308,34.0049,0
Jharkhand,Palamu,PMGSY-II,9,0,9,0,0,0,92.99,67.2765,93.32,60.9392,0
Jharkhand,"Pashchimi Singhbhum",PMGSY-III,31,2,12,1,19,1,287.737,167.92703,210.236,186.1852,77.494
Jharkhand,Ramgarh,PMGSY-II,3,0,3,0,0,0,42.7,26.83655,42.43,20.65,0
Jharkhand,Sahibganj,PMGSY-III,23,6,17,6,6,0,196.575,140.8152,156.71,145.9306,39.775
Jharkhand,Sahibganj,PM-JANMAN,68,0,0,0,68,0,216.065,187.25124,0,0,216.065
Jharkhand,Simdega,PMGSY-I,269,6,269,6,0,0,1035.664,365.31852,1001.908,383.7089,0
Karnataka,Bagalkot,PMGSY-II,8,0,8,0,0,0,69.78,30.3636,69.6,30.8468,0
Karnataka,Bagalkot,PMGSY-III,34,12,31,12,3,0,208.76,130.58325,200.594,132.8796,5.09
Karnataka,"Bangalore R",PMGSY-II,12,0,12,0,0,0,69.68,25.1195,68.603,25.6851,0
Karnataka,"Bangalore U",PMGSY-III,12,0,11,0,1,0,108.44,88.1428,106.74,74.4065,1.71
Karnataka,Belgaum,PMGSY-II,18,0,18,0,0,0,123.41,58.9269,120.54,58.9131,0
Karnataka,Davanagere,PMGSY-II,10,0,10,0,0,0,69.28,33.3206,67.03,33.6692,0
Karnataka,Dharwad,PMGSY-I,65,1,65,1,0,0,438.49,91.2239,438.295,103.9181,0
Karnataka,Gulbarga,PMGSY-I,87,7,87,7,0,0,746.158,146.7877,746.158,157.4206,0
Karnataka,Gulbarga,PMGSY-III,38,4,36,3,2,1,260.944,185.16889,248.397,181.2958,1.165
Karnataka,Kodagu,PMGSY-I,46,1,46,1,0,0,169.9,42.7033,169.9,50.2141,0
Karnataka,Koppal,PMGSY-II,7,0,7,0,0,0,70.2,21.3982,70.195,18.6394,0
Karnataka,Mandya,PMGSY-I,119,1,119,1,0,0,514.115,92.7478,514.115,97.7989,0
Karnataka,Mandya,PMGSY-II,11,0,11,0,0,0,70.27,24.5324,70.27,25.3148,0
Karnataka,Mysore,PMGSY-III,34,2,32,2,2,0,205.611,135.56569,200.661,133.5538,1.905
Kerala,Alappuzha,PMGSY-II,11,0,9,0,2,0,25.124,18.12222,20.102,11.6237,4.96
Kerala,Ernakulam,PMGSY-III,26,1,8,0,18,1,146.379,118.90189,71.038,49.1017,74.127
Kerala,Malappuram,PMGSY-II,12,0,12,0,0,0,46.897,31.51363,46.861,26.7286,0
Kerala,Malappuram,PMGSY-III,31,1,17,0,14,1,136.268,128.70604,93.42,66.806,42.817
Kerala,Thiruvananthapuram,PMGSY-I,175,0,174,0,1,0,282.963,127.6997,280.467,141.342,2.31
Kerala,Thrissur,PMGSY-I,113,0,113,0,0,0,229.874,82.2317,229.152,91.0409,0
Kerala,Thrissur,PMGSY-III,28,0,12,0,16,0,122.979,99.52075,58.093,47.374,64.03
"Madhya Pradesh",Agar,PMGSY-II,4,6,4,6,0,0,78.47,55.9781,77.614,50.1109,0
"Madhya Pradesh",Agar,PMGSY-III,16,17,16,16,0,1,151.774,133.7087,147.936,93.8301,0
"Madhya Pradesh",Anuppur,PMGSY-I,269,6,269,6,0,0,1093.975,308.0774,1065.674,294.2849,0
"Madhya Pradesh","Ashok Nagar",PMGSY-I,258,5,258,5,0,0,969.985,350.8048,922.727,327.6571,0
"Madhya Pradesh",Balaghat,RCPLWEA,35,43,16,29,19,14,337.47,477.24568,154.158,331.5042,178.75
"Madhya Pradesh",Chhatarpur,PMGSY-III,40,3,37,2,3,1,314.68,201.6332,305.163,144.7925,7.71
"Madhya Pradesh",Chhindwara,PMGSY-I,783,17,783,16,0,1,3177.794,1043.24909,3080.98,1024.3928,0
"Madhya Pradesh",Damoh,PMGSY-III,19,19,19,15,0,4,283.775,229.04376,275.94,187.9873,0
"Madhya Pradesh",Datia,PMGSY-I,222,2,222,2,0,0,813.455,235.85814,798.663,198.1627,0
"Madhya Pradesh",Dindori,PM-JANMAN,53,0,3,0,50,0,130.3,96.62192,26.68,0,103.6
"Madhya Pradesh",Gwalior,PMGSY-III,16,8,14,5,2,3,159.66,141.10122,149.524,98.5869,7.75
"Madhya Pradesh",Indore,PMGSY-I,186,33,186,33,0,0,652.707,312.78738,623.737,320.0987,0
"Madhya Pradesh",Jabalpur,PMGSY-I,298,14,298,13,0,1,1038.875,365.25971,988.98,356.4708,0
"Madhya Pradesh",Katni,PMGSY-I,280,7,280,6,0,1,999.498,292.26152,971.897,295.3199,0
"Madhya Pradesh",Khandwa,PMGSY-I,323,34,323,34,0,0,1300.552,455.78852,1185.083,409.7413,0
"Madhya Pradesh",Khargone,PMGSY-III,20,37,20,24,0,13,343.565,292.1011,341.215,206.7898,0
"Madhya Pradesh",Mandla,RCPLWEA,2,3,2,3,0,0,8.675,13.00472,8.627,12.7727,0
"Madhya Pradesh",Mauganj,PMGSY-I,30,1,30,1,0,0,144.5,35.1127,142.915,37.3952,0
"Madhya Pradesh",Mauganj,PMGSY-III,5,0,5,0,0,0,44.6,23.8148,44.271,16.169,0
"Madhya Pradesh",Morena,PMGSY-II,8,2,8,2,0,0,102.088,70.2807,101.687,56.8822,0
"Madhya Pradesh",Neemuch,PMGSY-II,3,2,3,2,0,0,56.46,42.4354,56.064,38.7124,0
"Madhya Pradesh",Raisen,PMGSY-III,30,17,29,12,1,5,276.24,242.95341,267.836,169.8959,0.35
"Madhya Pradesh",Rewa,PMGSY-I,426,16,426,15,0,1,1842.69,525.5304,1745.303,501.0964,0
"Madhya Pradesh",Sagar,PMGSY-I,519,24,519,22,0,2,1912.948,638.57422,1853.515,573.6503,0
"Madhya Pradesh",Sagar,PMGSY-III,35,32,31,16,4,16,456.143,441.51278,423.227,323.3214,23.545
"Madhya Pradesh",Satna,PMGSY-I,337,8,337,8,0,0,1262.27,341.1019,1212.203,303.2947,0
"Madhya Pradesh",Sehore,PMGSY-II,5,9,5,9,0,0,82.1,89.77582,79.476,80.1687,0
"Madhya Pradesh",Seoni,PMGSY-II,10,10,10,10,0,0,141.22,87.1031,138.426,73.8472,0
"Madhya Pradesh",Shahdol,PMGSY-II,4,0,4,0,0,0,77.265,48.40597,77.335,41.6618,0
"Madhya Pradesh",Shajapur,PMGSY-II,5,7,5,7,0,0,79.146,51.0444,78.981,49.5073,0
"Madhya Pradesh",Sheopur,PMGSY-III,15,18,14,16,1,2,162.54,159.64219,154.761,124.4008,4.99
"Madhya Pradesh",Shivpuri,PMGSY-I,526,13,526,13,0,0,2123.238,632.83899,2047.805,503.7602,0
"Madhya Pradesh",Ujjain,PMGSY-I,517,7,517,7,0,0,1882.956,653.51385,1836.344,657.7292,0
"Madhya Pradesh",Vidisha,PMGSY-I,369,4,369,4,0,0,1416.114,443.6099,1377.771,389.903,0
Maharashtra,Ahmednagar,PMGSY-I,203,15,202,15,1,0,1269.835,376.01638,1225.623,368.8257,0.56
Maharashtra,Akola,PMGSY-I,125,15,125,15,0,0,622.99,165.1223,607.89,162.5296,0
Maharashtra,Akola,PMGSY-III,10,0,10,0,0,0,116.01,97.90609,116.01,115.4128,0
Maharashtra,Beed,PMGSY-I,225,31,225,31,0,0,854.19,172.0928,845.04,176.1568,0
Maharashtra,Beed,PMGSY-II,12,9,12,9,0,0,101.72,68.0453,99.534,63.0521,0
Maharashtra,Buldhana,PMGSY-I,133,14,133,14,0,0,564.63,125.0043,564.63,126.5149,0
Maharashtra,Dhule,PMGSY-II,7,6,7,6,0,0,59.29,35.8535,59.29,30.0629,0
Maharashtra,Gadchiroli,PMGSY-I,272,50,272,48,0,2,1188.22,528.6053,1118.221,557.6774,0
Maharashtra,Gondia,PMGSY-II,13,1,13,1,0,0,86.81,49.5096,86.42,39.5875,0
Maharashtra,Jalgaon,PMGSY-II,18,3,18,3,0,0,115.52,56.6378,114.911,55.8172,0
Maharashtra,Jalna,PMGSY-II,9,4,9,4,0,0,49.95,37.4794,49.21,29.9556,0
Maharashtra,Kolhapur,PMGSY-II,12,0,12,0,0,0,70.77,34.5714,69.68,34.0056,0
Maharashtra,Nanded,PMGSY-II,15,5,15,5,0,0,107.23,64.4296,107.03,53.6438,0
Maharashtra,Nandurbar,PMGSY-I,194,28,191,28,3,0,1192.22,579.4886,1161.49,739.4476,13.37
Maharashtra,Nandurbar,PMGSY-II,5,1,5,1,0,0,39.55,19.0165,33.025,20.45,0
Maharashtra,Nashik,PM-JANMAN,3,0,0,0,3,0,3.46,3.3772,0,0,3.46
Maharashtra,Osmanabad,PMGSY-II,7,9,7,9,0,0,60.35,50.1433,60.3,47.0803,0
Maharashtra,Thane,PM-JANMAN,1,0,0,0,1,0,1.25,1.94269,0,0,1.25
Maharashtra,Wardha,PMGSY-II,5,2,5,2,0,0,41.95,25.1131,41.95,23.3738,0
Meghalaya,"East Garo Hills",PMGSY-II,12,0,12,0,0,0,49.9,37.62681,48.905,38.7953,0
Meghalaya,"East Garo Hills",PMGSY-III,15,8,0,0,15,8,93.738,114.14796,7.5,9.6967,86.238
Meghalaya,Jaintia,PMGSY-I,119,1,117,1,2,0,406.841,190.58205,390.968,172.3393,8.313
Meghalaya,Jaintia,PMGSY-II,10,1,10,0,0,1,58.889,39.38488,55.465,36.6595,0
Meghalaya,Ribhoi,PMGSY-II,6,0,6,0,0,0,36.298,21.58507,36.298,20.2853,0
Meghalaya,"West Khasi Hills",PMGSY-II,16,1,16,1,0,0,82.75,48.48534,82.75,45.6327,0
